Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_683.jpg;15;0;0;0;99.67001;85.58897;0.0002278747;46.06825;-8.657241E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_750.jpg;15;0;0;0;99.67;85.58897;0.0002314117;49.66821;-7.577273E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_817.jpg;15;0;0;0;99.67;85.58897;0.0002349466;52.36818;-6.707959E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_883.jpg;15;0;0;0;99.67;85.58897;0.0002418637;55.06815;-5.82665E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_21_949.jpg;15;0;0;0;99.67;85.58897;0.0002498059;58.66812;-4.721072E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_017.jpg;12.99508;0;0;0;99.67;85.58897;0.0002588128;61.12751;-3.817499E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_083.jpg;8.989014;0;0;0;99.67;85.58898;0.0002686245;62.98481;-2.722874E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_150.jpg;4.991362;0;0;0;99.67;85.58898;0.0002805352;64.41997;-9.774995E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_217.jpg;4.968614;0;0;0;99.67;85.58898;0.0002877953;65.19478;3.599883E-06
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_283.jpg;4.992867;0;0;0;99.67;85.58898;0.0002941338;66.33201;1.411608E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_350.jpg;0.9981495;0;0;0;99.67;85.58898;0.0002992024;66.80949;3.132279E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_417.jpg;0;0;0;0;99.67;85.58898;0.0003005797;66.80949;4.372552E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_482.jpg;0;0;0;0;99.67;85.58898;0.0003006221;66.80949;5.413848E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_550.jpg;0;0;0;0;99.67;85.58898;0.0002987049;66.80949;6.507539E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_616.jpg;0;0;0;0;99.67;85.58898;0.0002961017;66.80949;7.086006E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_683.jpg;0;0;0;0;99.67;85.58898;0.0002920592;66.80949;7.463352E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_749.jpg;0;0;0;0;99.67;85.58898;0.0002857596;66.80949;7.666377E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_817.jpg;0;0;0;0;99.67;85.58898;0.0002806825;66.80949;7.698384E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_883.jpg;-4.004549;0;0;0;99.67;85.58898;0.0002751534;66.32616;7.789459E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_22_950.jpg;-8.006563;0;0;0;99.67;85.58898;0.0002657532;64.64372;8.002045E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_016.jpg;-4.014486;0;0;0;99.67;85.58898;0.0002598829;63.80285;7.742619E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_083.jpg;-0.01926117;0;0;0;99.67;85.58898;0.0002562135;63.56151;7.027077E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_149.jpg;0;0;0;0;99.67;85.58898;0.0002498477;63.56151;5.863498E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_216.jpg;0;0;0;0;99.67;85.58898;0.000244815;63.56151;4.925819E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_283.jpg;-4.01931;0;0;0;99.67;85.58898;0.0002395765;63.07906;4.23909E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_350.jpg;-8.011324;0;0;0;99.67;85.58898;0.0002329886;61.39639;3.610232E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_417.jpg;-11.98884;0;0;0;99.67;85.58898;0.0002281972;59.35603;3.308765E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_483.jpg;-12.0563;0;0;0;99.67;85.58898;0.0002250228;56.9492;3.086262E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_550.jpg;-8.042135;0;0;0;99.67;85.58898;0.0002232544;54.78008;2.355637E-05
C:\Users\RIGGS\Projects\RoboND-Rover-Project\IMG\robocam_2018_01_21_16_25_23_617.jpg;-4.065818;0;0;0;99.67;85.58898;0.000221409;53.92974;1.473756E-05
